id,provstate,city,latitude,longitude,doubtterr,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,claimed,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,president_party,state_governor_party,date,Total Casualties
319,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/7/1970,0
320,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Bombing/Explosion,Government (Diplomatic),South Africa,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/7/1970,0
321,New York,New York City,40.697132,-73.931351,NA,TRUE,Bombing/Explosion,Business,Portugal,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/7/1970,0
322,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Government (Diplomatic),Haiti,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/7/1970,0
323,Alabama,Oneonta,33.948315,-86.472939,TRUE,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,7/8/1970,0
324,California,Petaluma,38.232471,-122.644448,FALSE,TRUE,Facility/Infrastructure Attack,Journalists & Media,United States,Strikers,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",7/8/1970,0
325,Illinois,Des Plaines,42.039274,-87.859977,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/9/1970,0
326,Massachusetts,New Bedford,41.637675,-70.930869,TRUE,TRUE,Armed Assault,Private Citizens & Property,United States,White extremists,FALSE,Firearms,1,1,0,3,3,0,Republican,Republican,7/11/1970,4
327,California,Palo Alto,37.424305,-122.143913,NA,FALSE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",7/12/1970,0
328,Illinois,Chicago,41.842602,-87.681229,FALSE,TRUE,Facility/Infrastructure Attack,NGO,United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/14/1970,0
329,New York,New York City,40.697132,-73.931351,TRUE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/14/1970,0
330,Illinois,Chicago,41.842602,-87.681229,FALSE,TRUE,Facility/Infrastructure Attack,NGO,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/16/1970,0
331,New York,New York City,40.697132,-73.931351,TRUE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/16/1970,0
332,Minnesota,St. Paul,44.943829,-93.093326,TRUE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/16/1970,0
333,Illinois,Chicago,41.842602,-87.681229,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,2,2,0,0,0,0,Republican,Republican,7/17/1970,2
334,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/18/1970,0
335,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Facility/Infrastructure Attack,NGO,United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/20/1970,0
336,California,San Diego,32.715695,-117.161719,NA,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",7/21/1970,0
337,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Police,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/21/1970,0
338,Wisconsin,Milwaukee,43.064388,-87.966202,TRUE,TRUE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/21/1970,0
339,Wisconsin,Milwaukee,43.064388,-87.966202,TRUE,TRUE,Bombing/Explosion,Utilities,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/22/1970,0
340,New Jersey,Camden,39.933449,-75.106743,TRUE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/22/1970,0
341,California,Los Angeles,34.097866,-118.407379,TRUE,TRUE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",7/23/1970,0
342,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Facility/Infrastructure Attack,NGO,United States,Jewish Defense League (JDL),FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,7/24/1970,0
343,Missouri,St. Louis,38.62774,-90.199514,NA,TRUE,Assassination,Business,United States,NA,FALSE,Explosives,1,1,0,0,0,0,Republican,Democrat,7/26/1970,1
344,Wisconsin,Sparta,43.939135,-90.820369,TRUE,TRUE,Bombing/Explosion,Military,United States,American Servicemen's Union (ASU),FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/26/1970,0
345,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/27/1970,0
346,Wisconsin,Sparta,43.939135,-90.820369,FALSE,TRUE,Bombing/Explosion,Utilities,United States,American Servicemen's Union (ASU),FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/26/1970,0
347,Wisconsin,Sparta,43.939135,-90.820369,FALSE,TRUE,Bombing/Explosion,Telecommunication,United States,American Servicemen's Union (ASU),FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/26/1970,0
348,California,San Francisco,37.755363,-122.443352,FALSE,TRUE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",7/27/1970,0
349,California,San Francisco,37.755363,-122.443352,FALSE,TRUE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",7/27/1970,0
350,Texas,Houston,29.813822,-95.365295,NA,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,7/28/1970,0
351,California,Alameda,37.774422,-122.275475,FALSE,TRUE,Bombing/Explosion,Government (General),United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",7/30/1970,0
352,Illinois,Chicago,41.842602,-87.681229,FALSE,FALSE,Bombing/Explosion,Utilities,United States,Black Panthers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,7/30/1970,0
353,North Carolina,Charlotte,35.2225,-80.837539,TRUE,TRUE,Armed Assault,Private Citizens & Property,United States,White extremists,FALSE,Firearms,0,0,0,0,0,0,Republican,Democrat,7/31/1970,0
354,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,Brazil,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,8/1/1970,0
355,California,Berkeley,37.874043,-122.280022,FALSE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",8/2/1970,0
356,Wisconsin,Milwaukee,43.064388,-87.966202,TRUE,TRUE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,8/5/1970,0
357,California,Placentia,33.871124,-117.861401,NA,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",8/6/1970,0
358,California,San Jose,37.338475,-121.885794,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,1,1,0,0,0,0,Republican,"Democrat, Republican",8/6/1970,1
359,Maryland,Dundalk,39.26931,-76.503519,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,8/7/1970,0
360,California,San Rafael,37.97457,-122.532474,FALSE,TRUE,Hostage Taking (Kidnapping),Government (General),United States,Jonathan Jackson Brigade,FALSE,Firearms,4,4,0,2,2,0,Republican,"Democrat, Republican",8/7/1970,6
361,Oregon,Portland,45.511795,-122.675629,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,White Panther Party,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,8/10/1970,0
362,Mississippi,West Point,33.60651,-88.650419,TRUE,TRUE,Assassination,Private Citizens & Property,United States,White extremists,FALSE,Firearms,1,1,0,0,0,0,Republican,Democrat,8/15/1970,1
363,Nebraska,Omaha,41.260675,-95.940469,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,Black Panthers,FALSE,Explosives,1,0,0,7,0,0,Republican,Republican,8/17/1970,8
364,Minnesota,Minneapolis,44.964985,-93.260193,FALSE,TRUE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,1,1,0,Republican,Republican,8/17/1970,1
365,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Facility/Infrastructure Attack,NGO,United States,Jewish Defense League (JDL),FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,8/18/1970,0
366,District of Columbia,Washington,38.908642,-77.015381,FALSE,TRUE,Bombing/Explosion,Government (Diplomatic),Rhodesia,Revolutionary Action Party,FALSE,Explosives,0,0,0,0,0,0,Republican,NA,8/20/1970,0
367,Maryland,Reisterstown,39.464791,-76.829198,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,8/20/1970,0
368,California,Berkeley,37.874043,-122.280022,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,1,1,0,0,0,0,Republican,"Democrat, Republican",8/20/1970,1
369,Oregon,Eugene,44.04483,-123.072606,FALSE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,8/21/1970,0
370,Minnesota,St. Paul,44.943829,-93.093326,FALSE,FALSE,Bombing/Explosion,Police,United States,Black Panthers,FALSE,Explosives,0,0,0,1,1,0,Republican,Republican,8/22/1970,1
371,Maryland,Baltimore,39.308342,-76.616104,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,8/22/1970,0
372,Wisconsin,Madison,43.07295,-89.386694,TRUE,TRUE,Bombing/Explosion,Military,United States,New Year's Gang,FALSE,Explosives,1,0,0,4,0,0,Republican,Republican,8/24/1970,5
373,Massachusetts,Burlington,42.505832,-71.19376,FALSE,TRUE,Facility/Infrastructure Attack,Police,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,8/25/1970,0
374,Massachusetts,Cambridge,42.377003,-71.11666,FALSE,FALSE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,8/27/1970,0
375,North Carolina,Rocky Mount,35.948199,-77.795207,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,8/28/1970,0
376,California,Walnut Creek,37.90118,-122.061628,TRUE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",8/28/1970,0
377,District of Columbia,Washington,38.908642,-77.015381,FALSE,TRUE,Bombing/Explosion,Government (Diplomatic),Portugal,Revolutionary Action Party,FALSE,Explosives,0,0,0,0,0,0,Republican,NA,8/29/1970,0
378,California,Berkeley,37.874043,-122.280022,NA,TRUE,Facility/Infrastructure Attack,Business,United States,NA,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",8/29/1970,0
379,California,Walnut Creek,37.90118,-122.061628,TRUE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",8/29/1970,0
380,California,Santa Fe Springs,33.946154,-118.082952,TRUE,FALSE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",8/29/1970,0
381,District of Columbia,Washington,38.908642,-77.015381,FALSE,TRUE,Bombing/Explosion,Government (Diplomatic),Portugal,Revolutionary Action Party,FALSE,Explosives,0,0,0,0,0,0,Republican,NA,8/30/1970,0
382,Georgia,Athens,33.948005,-83.377322,FALSE,FALSE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,8/30/1970,0
383,Pennsylvania,Philadelphia,40.008171,-75.13549,TRUE,TRUE,Armed Assault,Business,United States,"Weather Underground, Weathermen",FALSE,Firearms,0,0,0,0,0,0,Republican,Republican,9/1/1970,0
384,California,San Francisco,37.755363,-122.443352,TRUE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",9/2/1970,0
385,California,Milpitas,37.432805,-121.897259,TRUE,TRUE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",9/2/1970,0
386,California,Fremont,37.548148,-121.988566,TRUE,FALSE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",9/3/1970,0
387,Tennessee,Memphis,35.14968,-90.048929,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,9/3/1970,0
388,Minnesota,St. Paul,44.943829,-93.093326,FALSE,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/4/1970,0
389,Wisconsin,Milwaukee,43.064388,-87.966202,FALSE,FALSE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/4/1970,0
390,California,Santa Ana,33.745573,-117.867834,TRUE,FALSE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",9/4/1970,0
391,Iowa,DeWitt,41.82277,-90.538969,TRUE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,2,2,0,Republican,Republican,9/5/1970,2
392,California,Los Angeles,34.097866,-118.407379,TRUE,FALSE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",9/5/1970,0
393,Massachusetts,Fitchburg,42.58176,-71.792259,TRUE,FALSE,Bombing/Explosion,Police,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/6/1970,0
394,Wisconsin,Madison,43.07295,-89.386694,FALSE,FALSE,Facility/Infrastructure Attack,Journalists & Media,United States,Right-wing extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,9/9/1970,0
395,Florida,Gainesville,29.647665,-82.348458,FALSE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",9/10/1970,0
396,Ohio,Toledo,41.67086,-83.543846,FALSE,TRUE,Armed Assault,Police,United States,Black Panthers,FALSE,Firearms,1,1,0,1,1,0,Republican,Republican,9/18/1970,2
397,Massachusetts,Newburyport,42.811978,-70.872638,TRUE,TRUE,Bombing/Explosion,Military,United States,Welsh Extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/20/1970,0
398,Massachusetts,Brighton,42.350097,-71.156442,FALSE,TRUE,Armed Assault,Police,United States,"Weather Underground, Weathermen",FALSE,Firearms,1,0,0,0,0,0,Republican,Republican,9/23/1970,1
399,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Government (General),Japan,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/24/1970,0
400,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Military,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/25/1970,0
401,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Government (Diplomatic),Ivory Coast,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/26/1970,0
402,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Hijacking,Airports & Aircraft,International,Jewish Defense League (JDL),FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,9/27/1970,0
403,Maryland,Baltimore,39.308342,-76.616104,FALSE,TRUE,Facility/Infrastructure Attack,Private Citizens & Property,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,10/1/1970,0
404,Oregon,Eugene,44.04483,-123.072606,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/2/1970,0
405,Maryland,Glen Burnie,39.162608,-76.624689,FALSE,TRUE,Facility/Infrastructure Attack,Food or Water Supply,United States,Neo-Nazi extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,10/2/1970,0
406,Illinois,Chicago,41.842602,-87.681229,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/5/1970,0
407,West Virginia,Bluefield,37.264891,-81.240268,TRUE,TRUE,Bombing/Explosion,Educational Institution,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/5/1970,0
408,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Terrorists/Non-State Militia,West Bank and Gaza Strip,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/6/1970,0
409,Washington,Seattle,47.610786,-122.331306,TRUE,TRUE,Bombing/Explosion,Military,United States,Quartermoon Society,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/8/1970,0
410,California,Santa Barbara,34.419255,-119.698869,TRUE,TRUE,Bombing/Explosion,Military,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",10/8/1970,0
411,California,San Rafael,37.97457,-122.532474,FALSE,TRUE,Bombing/Explosion,Government (General),United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",10/8/1970,0
412,California,Berkeley,37.874043,-122.280022,FALSE,FALSE,Bombing/Explosion,Educational Institution,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",10/8/1970,0
413,Texas,Houston,29.813822,-95.365295,FALSE,TRUE,Bombing/Explosion,Telecommunication,United States,Ku Klux Klan,TRUE,Explosives,0,0,0,0,0,0,Republican,Democrat,10/9/1970,0
414,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Government (General),United States,"Weather Underground, Weathermen",TRUE,Explosives,0,0,0,0,0,0,Republican,Republican,10/10/1970,0
415,Massachusetts,Cambridge,42.36679,-71.106019,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/14/1970,0
416,Massachusetts,Cambridge,42.36679,-71.106019,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/15/1970,0
417,Missouri,Kansas City,39.176086,-94.574127,FALSE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,2,2,0,Republican,Democrat,10/15/1970,2
418,California,Irvine,33.683734,-117.794609,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",10/18/1970,0
419,California,Irvine,33.683734,-117.794609,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",10/19/1970,0
420,Illinois,Cairo,37.005105,-89.176269,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,10/20/1970,0
421,Illinois,Cairo,37.005105,-89.176269,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,0,0,0,0,0,0,Republican,Republican,10/21/1970,0
422,California,San Francisco,37.755363,-122.443352,FALSE,TRUE,Bombing/Explosion,Religious Figures/Institutions,United States,Black Liberation Army,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",10/22/1970,0
423,Michigan,Detroit,42.331685,-83.047924,FALSE,TRUE,Armed Assault,Police,United States,National Committee to Combat Fascism,FALSE,Firearms,1,0,0,0,0,0,Republican,Republican,10/24/1970,1
424,Illinois,Cairo,37.005105,-89.176269,FALSE,TRUE,Facility/Infrastructure Attack,Business,United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,10/24/1970,0
425,Illinois,Cairo,37.005105,-89.176269,FALSE,TRUE,Armed Assault,Police,United States,Black Panthers,FALSE,Firearms,0,0,0,2,2,1,Republican,Republican,10/24/1970,2
426,District of Columbia,Washington,38.908642,-77.015381,TRUE,TRUE,Bombing/Explosion,Government (General),United States,NA,FALSE,Explosives,0,0,0,1,1,0,Republican,NA,10/25/1970,1
427,California,Irvine,33.683734,-117.794609,NA,TRUE,Facility/Infrastructure Attack,Business,United States,NA,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",10/26/1970,0
428,Florida,Stuart,27.19999,-80.255359,TRUE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",10/28/1970,0
429,Wisconsin,Whitefish Bay,43.111261,-87.898632,FALSE,TRUE,Bombing/Explosion,Police,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/28/1970,0
430,California,El Toro,33.62905,-117.691249,FALSE,FALSE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",10/29/1970,0
431,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/30/1970,0
432,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Police,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/30/1970,0
433,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/30/1970,0
434,New York,New York City,40.697132,-73.931351,TRUE,FALSE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,10/30/1970,0
435,California,Fresno,36.740685,-119.785734,FALSE,TRUE,Bombing/Explosion,Journalists & Media,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",11/1/1970,0
436,California,Fresno,36.740685,-119.785734,TRUE,TRUE,Bombing/Explosion,Military,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",11/1/1970,0
437,Pennsylvania,New Castle,41.001845,-80.34724,TRUE,TRUE,Armed Assault,Private Citizens & Property,United States,White extremists,FALSE,Firearms,1,1,0,0,0,0,Republican,Republican,11/1/1970,1
438,Michigan,Ann Arbor,42.278044,-83.738224,TRUE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,11/1/1970,0
439,Illinois,Cairo,37.005105,-89.176269,FALSE,TRUE,Facility/Infrastructure Attack,Business,United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,11/7/1970,0
440,Minnesota,Minneapolis,44.964985,-93.260193,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,11/7/1970,0
441,Illinois,Cairo,37.005105,-89.176269,TRUE,TRUE,Armed Assault,Private Citizens & Property,United States,White extremists,FALSE,Firearms,1,1,0,0,0,0,Republican,Republican,11/8/1970,1
442,Illinois,Chicago,41.842602,-87.681229,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,11/12/1970,0
443,Puerto Rico,San Juan,18.386932,-66.061127,FALSE,TRUE,Bombing/Explosion,Business,United States,Armed Commandos of Liberation,FALSE,Explosives,0,0,0,0,0,0,Republican,New Progressive Party,11/14/1970,0
444,Puerto Rico,San Juan,18.386932,-66.061127,FALSE,TRUE,Bombing/Explosion,Business,United States,Armed Commandos of Liberation,FALSE,Explosives,0,0,0,0,0,0,Republican,New Progressive Party,11/14/1970,0
445,Puerto Rico,San Juan,18.386932,-66.061127,FALSE,TRUE,Bombing/Explosion,Business,United States,Armed Commandos of Liberation,FALSE,Explosives,0,0,0,0,0,0,Republican,New Progressive Party,11/14/1970,0
446,Puerto Rico,San Juan,18.386932,-66.061127,FALSE,TRUE,Bombing/Explosion,Business,United States,Armed Commandos of Liberation,FALSE,Explosives,0,0,0,0,0,0,Republican,New Progressive Party,11/14/1970,0
447,Florida,St. Petersburg,27.771185,-82.639319,FALSE,TRUE,Unarmed Assault,Police,United States,Black Nationalists,FALSE,Melee,0,0,0,2,2,0,Republican,"Democrat, Republican",11/15/1970,2
448,Florida,St. Petersburg,27.807403,-82.689767,FALSE,TRUE,Facility/Infrastructure Attack,Police,United States,Left-Wing Militants,TRUE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",11/18/1970,0
449,Oregon,Portland,45.511795,-122.675629,FALSE,TRUE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,1,1,0,Republican,Republican,11/21/1970,1
450,Tennessee,Chattanooga,35.04644,-85.309464,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,11/21/1970,0
451,Florida,St. Petersburg,27.771185,-82.639319,TRUE,FALSE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",11/22/1970,0
452,Puerto Rico,San Juan,18.386932,-66.061127,FALSE,TRUE,Bombing/Explosion,Government (Diplomatic),Dominican Republic,Armed Commandos of Liberation,FALSE,Explosives,0,0,0,0,0,0,Republican,New Progressive Party,11/23/1970,0
453,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Airports & Aircraft,Soviet Union,Jewish Defense League (JDL),FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,11/25/1970,0
454,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Tourists,Soviet Union,Jewish Defense League (JDL),FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,11/25/1970,0
